"Último: Tiempo (s)","Último: Fuerza (N)"
77.8,13.1160825193
77.9,12.9004355036
78,13.1160825193
78.1,13.331729535
78.2,13.331729535
78.3,13.1160825193
78.4,13.331729535
78.5,13.331729535
78.6,12.9004355036
78.7,13.1160825193
78.8,12.6847884879
78.9,12.6847884879
79,12.6847884879
79.1,12.6847884879
79.2,12.9004355036
79.3,12.9004355036
79.4,12.9004355036
79.5,13.1160825193
79.6,13.1160825193
79.7,12.9004355036
79.8,13.1160825193
79.9,13.331729535
80,13.1160825193
