Vernier Format 2
pulsos.cmbl 05/05/20 14:46 .
Último
Tiempo	Fuerza
t	F
s	N

35.3	3.22327567311
35.4	3.22327567311
35.5	4.08586373599
35.6	40.8941137318
35.7	80.9235910249
35.8	99.4422784999
35.9	106.54515208
36	101.153976687
36.1	97.9327493899
36.2	52.5120967038
36.3	9.89485522197
36.4	4.73280478315
36.5	3.87021672027
36.6	3.43892268883
36.7	3.43892268883
36.8	3.22327567311
36.9	3.22327567311
37	3.22327567311
37.1	3.22327567311
37.2	3.22327567311
37.3	3.22327567311
37.4	10.5417962691
37.5	55.3155079081
37.6	84.1582962607
37.7	80.0610029621
37.8	78.9827678835
37.9	76.4084816333
38	41.1097607475
38.1	8.60097312764
38.2	5.15062087611
38.3	4.08586373599
38.4	3.65456970455
38.5	3.65456970455
38.6	3.43892268883
38.7	3.43892268883
38.8	3.43892268883
38.9	3.43892268883
39	3.43892268883
39.1	3.43892268883
39.2	3.43892268883
39.3	3.43892268883
39.4	3.43892268883
39.5	3.43892268883
39.6	3.43892268883
39.7	3.43892268883
39.8	3.43892268883
39.9	3.43892268883
40	3.43892268883
40.1	3.43892268883
40.2	3.43892268883
40.3	3.43892268883
40.4	3.65456970455
40.5	3.43892268883
40.6	3.43892268883
40.7	3.43892268883
40.8	3.43892268883
40.9	3.43892268883
41	3.43892268883
41.1	3.43892268883
41.2	3.43892268883
41.3	3.65456970455
41.4	3.43892268883
41.5	2.79198164167
41.6	3.00762865739
41.7	3.22327567311
41.8	3.00762865739
41.9	3.00762865739
42	2.57633462595
42.1	2.57633462595
42.2	6.44450297044
42.3	57.0272060954
42.4	107.407740143
42.5	116.006664895
42.6	117.947488036
42.7	126.344243711
42.8	123.972126538
42.9	66.9334908801
43	21.2971911782
43.1	7.73838506476
43.2	3.87021672027
43.3	3.00762865739
43.4	3.00762865739
43.5	2.79198164167
43.6	2.57633462595
43.7	3.00762865739
43.8	11.6200313477
43.9	101.800917734
44	139.471755793
44.1	142.922108045
44.2	143.13775506
44.3	140.334343856
44.4	136.897469543
44.5	77.7023637276
44.6	21.5128381939
44.7	7.0914440176
44.8	4.08586373599
44.9	3.43892268883
45	3.22327567311
45.1	2.79198164167
45.2	2.57633462595
45.3	2.57633462595
45.4	25.6101314926
45.5	114.941907755
45.6	131.290647134
45.7	118.163135052
45.8	121.182193272
45.9	122.462597428
46	115.144076832
46.1	77.7023637276
46.2	17.4290228337
46.3	4.93497386039
46.4	3.22327567311
46.5	3.00762865739
46.6	2.57633462595
46.7	2.57633462595
46.8	3.22327567311
46.9	3.65456970455
47	36.5811734174
47.1	117.516194005
47.2	127.42247879
47.3	130.643706087
47.4	134.094058339
47.5	137.962226683
47.6	128.285066853
47.7	96.4232202799
47.8	18.5072579123
47.9	4.73280478315
48	3.22327567311
48.1	3.00762865739
48.2	2.79198164167
48.3	2.79198164167
48.4	2.57633462595
48.5	3.22327567311
48.6	12.9004355036
48.7	95.9919262484
48.8	122.462597428
48.9	129.363301931
49	137.746579667
49.1	141.196931919
49.2	142.922108045
49.3	143.13775506
49.4	136.03488148
49.5	74.8989525232
49.6	20.650250131
49.7	5.15062087611
49.8	3.22327567311
49.9	2.57633462595
50	2.57633462595
50.1	3.00762865739
50.2	2.57633462595
50.3	2.36068761023
50.4	33.5755931358
50.5	108.472497283
50.6	118.810076099
50.7	127.42247879
50.8	129.781118024
50.9	133.447117291
51	135.172293417
51.1	132.800176244
51.2	84.5895902922
51.3	21.5128381939
51.4	6.013208939
51.5	3.43892268883
51.6	3.00762865739
51.7	2.79198164167
51.8	2.57633462595
51.9	2.36068761023
52	2.36068761023
52.1	12.4691414721
52.2	97.5014553585
52.3	113.648025661
52.4	113.001084613
52.5	113.432378645
52.6	114.726260739
52.7	113.648025661
52.8	109.335085346
52.9	63.6987856443
53	13.5473765507
53.1	4.30151075171
53.2	2.57633462595
53.3	2.36068761023
53.4	1.92939357879
53.5	1.92939357879
53.6	1.92939357879
53.7	1.71374656307
53.8	1.71374656307
53.9	1.0668055159
54	1.28245253162
54.1	4.51715776743
54.2	80.7079440092
54.3	109.766379378
54.4	114.941907755
54.5	116.869252958
54.6	126.559890727
54.7	131.721941166
54.8	138.393520714
54.9	109.982026393
55	28.1844177428
55.1	7.95403208048
55.2	4.08586373599
55.3	3.65456970455
55.4	3.22327567311
55.5	3.22327567311
55.6	2.79198164167
55.7	3.00762865739
55.8	3.00762865739
55.9	3.00762865739
56	3.22327567311
56.1	3.22327567311
56.2	22.5910732725
56.3	113.001084613
56.4	115.791017879
56.5	112.354143566
56.6	110.844614456
56.7	111.060261472
56.8	111.922849535
56.9	114.941907755
57	89.3203466996
57.1	18.9385519437
57.2	4.93497386039
57.3	3.00762865739
57.4	2.79198164167
57.5	2.36068761023
57.6	2.36068761023
57.7	2.79198164167
57.8	31.6347699943
57.9	106.976446112
58	106.329505065
58.1	103.52609386
58.2	114.294966708
58.3	123.109538475
58.4	128.716360884
58.5	126.344243711
58.6	71.4486002717
58.7	17.6446698494
58.8	3.65456970455
58.9	2.57633462595
59	2.57633462595
59.1	2.36068761023
59.2	2.36068761023
59.3	2.14504059451
59.4	2.36068761023
59.5	2.36068761023
59.6	2.36068761023
59.7	2.36068761023
59.8	2.36068761023
59.9	2.36068761023
60	2.36068761023
