Vernier Format 2
fatigue_spirom3.cmbl 10/05/20 16:17 .
Latest
Tiempo	Tasa de Flujo	Volumen
t	Flujo	Vol
s	L/s	L

11.19	1.62995957759	1.05755837112
11.2	1.62043809298	1.04130638276
11.21	1.59246873195	1.02524184864
11.22	1.58294724734	1.00936476874
11.23	1.57342576273	0.993582903692
11.24	1.56390427813	0.977896253488
11.25	1.56390427813	0.962257210707
11.26	1.54486130891	0.946713382771
11.27	1.5353398243	0.931312377105
11.28	1.50677537048	0.916101801131
11.29	1.50677537048	0.901034047427
11.3	1.50677537048	0.885966293722
11.31	1.48773240126	0.870993754863
11.32	1.47821091666	0.856164038273
11.33	1.46868943205	0.84142953653
11.34	1.42108200901	0.826980679325
11.35	1.36395310136	0.813055503773
11.36	1.36395310136	0.799415972759
11.37	1.35443161675	0.785824049169
11.38	1.32586716293	0.77242255527
11.39	1.34491013215	0.759068668795
11.4	1.31634567832	0.745762389742
11.41	1.29730270911	0.732694147805
11.42	1.2877812245	0.719768728137
11.43	1.29730270911	0.706843308469
11.44	1.2877812245	0.693917888801
11.45	1.25981186346	0.681179923361
11.46	1.23124740964	0.668724626996
11.47	1.24076889425	0.656364545476
11.48	1.20268295582	0.644147286226
11.49	1.20268295582	0.632120456668
11.5	1.19316147121	0.620141234533
11.51	1.17411850199	0.608304834667
11.52	1.15507553278	0.596658864493
11.53	1.11698959435	0.585298538857
11.54	1.08842514052	0.574271465183
11.55	1.07890365591	0.563434821201
11.56	1.07890365591	0.552645784642
11.57	1.09794662513	0.541761533236
11.58	1.06938217131	0.530924889254
11.59	1.06938217131	0.520231067541
11.6	1.0598606867	0.509584853251
11.61	1.03129623288	0.499129068653
11.62	1.01225326366	0.48891132117
11.63	1.02177474827	0.478741181111
11.64	0.983688809836	0.46871386332
11.65	0.983688809836	0.458876975222
11.66	0.974167325228	0.449087694547
11.67	0.955719448801	0.439438260676
11.68	0.936676479585	0.429976281035
11.69	0.917633510369	0.420704731085
11.7	0.908112025762	0.411576003404
11.71	0.879547571938	0.402637705416
11.72	0.87002608733	0.393889837119
11.73	0.860504602722	0.385237183669
11.74	0.860504602722	0.376632137642
11.75	0.850983118115	0.368074699038
11.76	0.831940148899	0.359660082703
11.77	0.803375695075	0.351483503483
11.78	0.774811241252	0.343592568801
11.79	0.736725302821	0.336034886081
11.8	0.698639364389	0.328858062745
11.81	0.698639364389	0.321871669101
11.82	0.698639364389	0.314885275457
11.83	0.698639364389	0.307898881813
11.84	0.698639364389	0.300912488169
11.85	0.679596395174	0.294021309371
11.86	0.679596395174	0.28722534542
11.87	0.660553425958	0.280524596314
